name,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_percentage,discount_percentage_original
"Nutraj 100% Natural Dried Premium California Walnut Kernels, 500g (2 X 250g) | Pure Without Shell Walnut Kernels | Akhrot ...",All Grocery & Gourmet Foods,3.9,6081,686.0,998.0,31.3,31.262525050100198
Sugar Free Green Natural Stevia Jar(200 g),All Grocery & Gourmet Foods,4.3,1585,162.0,170.0,4.7,4.705882352941177
"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg",All Grocery & Gourmet Foods,4.3,3907,138.0,139.0,0.7,0.7194244604316548
Tata Tea Gold | Assam teas with Gently Rolled Aromatic Long Leaves | Rich & Aromatic Chai | Black Tea | 500g,All Grocery & Gourmet Foods,4.4,15528,283.0,295.0,4.1,4.067796610169491
"Wagh Bakri Premium Leaf Tea, Poly Pack, 500g",All Grocery & Gourmet Foods,4.4,4463,281.0,290.0,3.1,3.103448275862069
"Dabur Vedic Tea - 500gm | Handpicked from Assam, Nilgiri & Darjeeling | Soulful Aroma & Rich Taste | 30+ Ayurvedic Herbs |...",All Grocery & Gourmet Foods,4.0,517,205.0,295.0,30.5,30.508474576271187
"Nescafe Classic Coffee Jar, 200 g with Free Red Mug and Scoop Spoon",All Grocery & Gourmet Foods,4.5,2539,626.0,640.0,2.2,2.1875
BLUE TEA - Chamomile Flower Tea | Pure Whole Flower Buds of Chamomile || SLEEP TEA & STRESS RELIEF || Herbal Tea - Caffein...,All Grocery & Gourmet Foods,4.1,10450,189.0,399.0,52.6,52.63157894736842
"Mccain Chilli Garlic Potato Bites, 420 g Regular Pack",All Grocery & Gourmet Foods,4.4,3256,128.0,140.0,8.6,8.571428571428571
"Saffola Honey Gold, 100% Pure NMR Tested Honey, Made with Kashmir Honey, 1Kg",All Grocery & Gourmet Foods,4.4,226,352.0,570.0,38.2,38.24561403508772
"Red Label Natural Care Tea, Chai Made With 5 Ayurvedic Herbs, 1 Kg",All Grocery & Gourmet Foods,4.4,9028,590.0,650.0,9.2,9.230769230769232
Kellogg's Chocos Variety Pack 168g | Breakfast Cereal for Kids,All Grocery & Gourmet Foods,4.4,2163,62.0,70.0,11.4,11.428571428571429
"Dabur Amla Juice: Rich Source of Vitamin C and Antioxidants for Immunity boosting |Pure, Natural and 100% Ayurvedic Juice -1L",All Grocery & Gourmet Foods,4.2,5587,172.0,235.0,26.8,26.80851063829787
"Catch Red Chilli Powder, 100g",All Grocery & Gourmet Foods,4.4,2013,63.0,73.0,13.7,13.698630136986301
"Pedigree Dentastix Oral Care Dog Treat for Adult Large Breed (25 Kg+), Monthly Pack (28 Sticks) 1.08 Kg",All Grocery & Gourmet Foods,4.5,3656,984.0,1070.0,8.0,8.037383177570094
"Mother Dairy Pure Healthy Ghee, 1L",All Grocery & Gourmet Foods,4.2,7251,835.0,845.0,1.2,1.183431952662722
"TE-A-ME Purify Green Tea, 100 Tea Bags | Green tea bags 100 pcs | Green Tea | Green Tea 100 Tea Bag Pack",All Grocery & Gourmet Foods,4.6,1438,227.0,325.0,30.2,30.153846153846153
"Hershey's Chocolate Syrup, 200g",All Grocery & Gourmet Foods,4.4,1998,91.0,95.0,4.2,4.2105263157894735
"Parle Monaco Classic, 400g",All Grocery & Gourmet Foods,4.3,289,79.0,80.0,1.2,1.25
"Tata Tea Premium Teaveda | Premium Assam Tea Leaves | With Goodness of Time-tested Indian Ingredients -Tulsi, Elaichi, Gin...",All Grocery & Gourmet Foods,4.2,2444,126.0,145.0,13.1,13.10344827586207
"Nestlé NAN PRO 4 Follow-Up Formula Powder - After 18 months, Up to 24 months, Stage 4, 400g Bag-In-Box Pack",All Grocery & Gourmet Foods,4.6,2012,580.0,740.0,21.6,21.62162162162162
Dabur Hommade Lemoneez- Goodness of 33 lemons - 250 ml,All Grocery & Gourmet Foods,4.4,1702,79.0,80.0,1.2,1.25
"More Bengal Gram Dal - Roasted, 500g (Loose)",All Grocery & Gourmet Foods,4.2,1227,99.0,150.0,34.0,34.0
Saffola Active Refined Oil|Blend of Rice Bran Oil & Soyabean Oil|Cooking Oil|Pro Weight Watchers Edible Oil 5 litre Jar,All Grocery & Gourmet Foods,4.4,3603,802.0,955.0,16.0,16.020942408376964
Herbalife Nutrition Natural Tulsi Afresh Energy Drink Mix,All Grocery & Gourmet Foods,4.0,1055,584.0,848.0,31.1,31.132075471698112
"Tata Sampann Chaat Masala with Natural Oils, Crafted by Chef Sanjeev Kapoor, 100g",All Grocery & Gourmet Foods,4.4,1068,72.0,80.0,10.0,10.0
Goodricke Roasted Darjeeling Tea - 250 gm | Whole Leaf Tea | 100% Pure & Original Darjeeling Long Leaf Tea | Flavoury Gold...,All Grocery & Gourmet Foods,4.3,3944,261.0,280.0,6.8,6.785714285714286
Glucon-D Instant Energy Health Drink Tangy Orange - 450Gm Refill,All Grocery & Gourmet Foods,4.4,5629,157.0,173.0,9.2,9.248554913294797
"Sunfeast Dark Fantasy Bourbon Classic With Real Chocolate, 100g",All Grocery & Gourmet Foods,4.4,8885,38.0,40.0,5.0,5.0
"Amul Chocomini Chocolate, 250 g",All Grocery & Gourmet Foods,4.3,2773,134.8,140.0,3.7,3.714285714285706
"Sunfeast Dark Fantasy Choco Nut Fills, 75g | Original Filled Cookies with Nuts",All Grocery & Gourmet Foods,4.4,1929,36.0,40.0,10.0,10.0
"UPF Healthy Brown Eggs, 6 Pieces| Veg Fed| Non-Fertile Eggs",All Grocery & Gourmet Foods,4.1,1727,82.77,89.0,7.0,7.000000000000004
"Aashirvaad Sugar Release Control Atta, 5kg Pack, Low GI Atta",All Grocery & Gourmet Foods,4.4,1762,375.0,395.0,5.1,5.063291139240507
